X,Y,n.,name,N,E,actual function,plan,icon_url
14.256902,40.848924,"1",Cappella dell'Arciconfraternita dei Cento Sacerdoti,"40,848924","14,256902",autorimessa,plans/2_1.png,./0.png
14.254445,40.849073,"2",Arciconfraternita del S.mo Sacramento (in S. Domenico Maggiore),"40,849073","14,254445",inattiva,plans/6_1.png,./0.png
14.263368,40.85868,"3",Arciconfraternita dell'Immacolata Concezione,"40,858680","14,263368",inattiva,plans/_0000.png,./0.png
14.252806,40.842577,"4",Arciconfraternita di S. Giovanni da Capestrano,"40,842577","14,252806",uffici,plans/10_1.png,./0.png
14.263701,40.846821,"5",Arciconfraternita di S. Giovanni della Disciplina,"40,846821","14,263701",attivit� commerciale,plans/11_1.png,./0.png
14.267371,40.861375,"6",Arciconfraternita di S. Maria Auxilium Christianorum,"40,861375","14,267371",inattiva,plans/_0000.png,./0.png
14.261026,40.851227,"7",Arciconfraternita di S. Maria Presentata al Tempio,"40,851227","14,261026",inattiva,plans/16_1.png,./0.png
14.259739,40.848503,"8",Arciconfraternita di S. Maria Stella Maris e S. Biagio dei Caciolii,"40,848503","14,259739",deposito,plans/17_1.png,./0.png
14.255201,40.847214,"9",Cappella di Vico S. Geronimo,"40,847214","14,255201",inattiva,plans/_0000.png,./0.png
14.255442,40.850513,"10",Cappella Beata Vergine Assunta in Palazzo Spinelli di Laurino,"40,850513","14,255442",inattiva,plans/22_1.png,./0.png
14.250319,40.850096,"11",Cappella dell'Immacolata a P.zza Dante,"40,850096","14,250319",associazione culturale,plans/23_1.png,./0.png
14.255886,40.842919,"12",Cappella di S. Maria delle Grazie Visitapoveri,"40,842919","14,255886",inattiva,plans/25-1.png,./0.png
14.254987,40.845426,"13",Chiesa dei SS. Cosma e Damiano ai Banchi Nuovi,"40,845426","14,254987",inattiva,plans/27-1.png,./0.png
14.265824,40.85183,"14",Chiesa dei SS. Crispino e Crispiniano,"40,851830","14,265824",inattiva,plans/_0000.png,./0.png
14.265356,40.851543,"15",Chiesa dei SS. Filippo e Giacomo dell'Arte dei Fornai,"40,851543","14,265356",associazione culturale,plans/29-1.png,./0.png
14.25259,40.844294,"16",Chiesa dei SS. Giuseppe e Cristoforo,"40,844294","14,252590",inattiva,plans/30-1.png,./0.png
14.266362,40.848103,"17",Chiesa del Carmine al Mercato,"40,848103","14,266362",attivit� commerciale - scuola,plans/33-1.png,./0.png
14.254131,40.847681,"18",Chiesa del Conservatorio di S. Maria della Fede,"40,847681","14,254131",centro sociale,plans/_0000.png,./0.png
14.260301,40.850254,"19",Chiesa del Sacro Cuore di Ges� ai Mannesi,"40,850254","14,260301",inattiva,plans/39-1.png,./0.png
14.268182,40.848052,"20",Chiesa dell'Immacolata Concezione e S. Gioacchino Sopramuro,"40,848052","14,268182",inattiva,plans/46-1.png,./0.png
14.262778,40.849242,"21",Chiesa di S. Agostino alla Zecca,"40,849242","14,262778",inattiva,plans/52-1.png,./0.png
14.261204,40.852405,"22",Chiesa di S. Andrea a Capuana,"40,852405","14,261204",inattiva,plans/54-1.png,./0.png
14.252721,40.85267,"23",Chiesa di S. Andrea delle Dame,"40,852670","14,252721",inattiva,plans/55-1.png,./0.png
14.256107,40.850689,"24",Chiesa di S. Angelo a Segno,"40,850689","14,256107",inattiva,plans/56-1.png,./0.png
14.26275,40.853973,"25",Chiesa di S. Antonio da Padova alla Vicaria,"40,853973","14,262750",inattiva,plans/59-1.png,./0.png
14.261783,40.849841,"26",Chiesa di S. Arcangelo a Bajano,"40,849841","14,261783",inattiva,plans/60-1.png,./0.png
14.260416,40.848232,"27",Chiesa di S. Arcangelo degli Arcamoni,"40,848232","14,260416",autorimessa,plans/61-1.png,./0.png
